SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG_2020,NPOPCHG_2021,PPOPCHG_2020,PPOPCHG_2021,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_PPCHG2020,NRANK_PPCHG2021
040,2,3,26,Michigan,10077331,10067664,10050811,-9667,-16853,-0.095928178,-0.167397323,10,10,10,47,44,38,40
040,2,4,27,Minnesota,5706494,5707165,5707390,671,225,0.0117585333,0.0039424127,22,22,22,18,33,22,33
040,3,6,28,Mississippi,2961279,2956870,2949965,-4409,-6905,-0.148888369,-0.233523963,34,34,34,40,39,46,42
040,2,4,29,Missouri,6154913,6154481,6168187,-432,13706,-0.007018783,0.2226995258,19,19,18,30,17,29,24
040,4,8,30,Montana,1084225,1086193,1104271,1968,18078,0.18151214,1.6643451026,44,44,43,15,15,9,3
040,2,4,31,Nebraska,1961504,1961455,1963692,-49,2237,-0.002498083,0.1140479899,37,37,37,27,30,27,29
040,4,8,32,Nevada,3104614,3114071,3143991,9457,29920,0.3046111368,0.9608001873,32,32,32,10,10,4,9
040,1,1,33,New Hampshire,1377529,1377848,1388992,319,11144,0.0231574072,0.8087974871,41,41,41,24,20,21,12
040,1,2,34,New Jersey,9288994,9279743,9267130,-9251,-12613,-0.099590978,-0.135919712,11,11,11,46,43,40,39
040,4,8,35,New Mexico,2117522,2117566,2115877,44,-1689,0.0020779005,-0.079761386,36,36,36,26,36,25,36
040,1,2,36,New York,20201249,20154933,19835913,-46316,-319020,-0.229272952,-1.582838306,4,4,4,51,51,50,50
040,3,5,37,North Carolina,10439388,10457177,10551162,17789,93985,0.1704027094,0.8987607267,9,9,9,4,4,11,11
040,2,4,38,North Dakota,779094,778962,774948,-132,-4014,-0.016942757,-0.515301132,47,47,47,29,37,30,44
040,2,3,39,Ohio,11799448,11790587,11780017,-8861,-10570,-0.075096733,-0.089647784,7,7,7,45,42,36,37
040,3,7,40,Oklahoma,3959353,3962031,3986639,2678,24608,0.0676373135,0.6210955947,28,28,28,14,12,18,16
040,4,9,41,Oregon,4237256,4241544,4246155,4288,4611,0.1011975675,0.108710413,27,27,27,13,26,15,30
040,1,2,42,Pennsylvania,13002700,12989625,12964056,-13075,-25569,-0.100556038,-0.19684171,5,5,5,48,46,41,41
040,1,1,44,Rhode Island,1097379,1096229,1095610,-1150,-619,-0.104795153,-0.056466304,43,43,44,33,34,42,35
040,3,5,45,South Carolina,5118425,5130729,5190705,12304,59976,0.240386447,1.1689566921,23,23,23,7,6,6,5
040,2,4,46,South Dakota,886667,887099,895376,432,8277,0.0487217862,0.9330412953,46,46,46,22,23,19,10
040,3,6,47,Tennessee,6910840,6920119,6975218,9279,55099,0.134267325,0.7962146316,16,16,16,11,8,13,13
040,3,7,48,Texas,29145505,29217653,29527941,72148,310288,0.2475441753,1.061988107,2,2,2,1,1,5,7
040,4,8,49,Utah,3271616,3281684,3337975,10068,56291,0.3077378274,1.71530836,30,30,30,9,7,3,2
040,1,1,50,Vermont,643077,642495,645570,-582,3075,-0.090502382,0.4786029463,50,50,50,31,29,37,18
040,3,5,51,Virginia,8631393,8632044,8642274,651,10230,0.0075422357,0.1185119075,12,12,12,19,21,24,28
040,4,9,53,Washington,7705281,7718785,7738692,13504,19907,0.1752564248,0.257903284,13,13,13,6,14,10,23
040,3,5,54,West Virginia,1793716,1789798,1782959,-3918,-6839,-0.218429227,-0.38211016,39,39,39,39,38,49,43
040,2,3,55,Wisconsin,5893718,5892323,5895908,-1395,3585,-0.02366927,0.0608418785,20,20,20,34,28,31,31
040,4,8,56,Wyoming,576851,577267,578803,416,1536,0.0721156763,0.26608138,51,51,51,23,31,17,22
040,X,X,72,Puerto Rico,3285874,3281538,3263584,-4336,-17954,-0.131958803,-0.547121502,X,X,X,X,X,X,X
